ID,Campaign_ID,Impressions,Clicks,Sign_Ups,Conversions
1,CAMP001,814161,106808,6529,25772
2,CAMP002,404581,18110,16734,14873
3,CAMP003,466514,154185,9471,6384
4,CAMP004,482608,159899,28491,6398
5,CAMP005,94402,98910,8418,13250
6,CAMP006,920662,131018,39084,130
7,CAMP007,921974,52910,5295,2608
8,CAMP008,459443,159232,3378,9400
9,CAMP009,954117,136618,28298,21343
10,CAMP010,395508,75018,11631,15366
11,CAMP011,552871,48403,3630,23084
12,CAMP012,26371,78696,8125,9936
13,CAMP013,667530,114198,10006,12926
14,CAMP014,978786,192798,7308,10157
15,CAMP015,47990,69432,42282,4839
16,CAMP016,878441,168302,6530,28115
17,CAMP017,199166,102680,18170,652
18,CAMP018,401247,94535,9439,5572
19,CAMP019,668545,9413,20143,19640
20,CAMP020,18347,76516,30087,8874
21,CAMP021,525925,81763,4664,5300
22,CAMP022,700441,156410,19496,19660
23,CAMP023,743299,69540,42659,6432
24,CAMP024,732769,128893,4968,12619
25,CAMP025,940187,119361,29461,27199
26,CAMP026,818000,194732,37848,19213
27,CAMP027,831495,134013,42241,19056
28,CAMP028,769619,99273,15265,19563
29,CAMP029,423177,59702,703,2391
30,CAMP030,107469,128610,32467,21471
31,CAMP031,231238,105964,23863,3527
32,CAMP032,158772,1688,39102,157
33,CAMP033,401636,107280,44670,8746
34,CAMP034,365454,55272,38934,4983
35,CAMP035,804643,15924,10563,5163
36,CAMP036,895743,111984,20418,26467
37,CAMP037,488917,161409,42869,5195
38,CAMP038,637412,32479,8092,16702
39,CAMP039,786829,59382,15447,15974
40,CAMP040,353742,68505,31623,19320
41,CAMP041,304084,89531,8493,9007
42,CAMP042,64441,106059,12179,123
43,CAMP043,518112,166098,2196,11196
44,CAMP044,946592,168389,19499,6778
45,CAMP045,896969,59383,23257,4620
46,CAMP046,484757,148067,27303,21698
47,CAMP047,429936,67815,24363,1425
48,CAMP048,765990,70726,35234,8080
49,CAMP049,301971,51633,15404,4912
50,CAMP050,945304,199646,3177,3351
51,CAMP051,195150,193990,40645,2392
52,CAMP052,626284,78352,155,17634
53,CAMP053,273337,166167,7744,18158
54,CAMP054,314970,45326,30226,16952
55,CAMP055,67446,137051,2186,27682
56,CAMP056,150892,137246,12949,13304
57,CAMP057,58223,192802,2412,17065
58,CAMP058,126844,94905,32478,25139
59,CAMP059,993947,121872,25893,14753
60,CAMP060,391858,58015,38310,9457
61,CAMP061,124779,75335,21793,27891
62,CAMP062,912961,184882,15727,26287
63,CAMP063,579927,97598,3566,17735
64,CAMP064,660086,44734,36984,864
65,CAMP065,352903,187517,42184,10034
66,CAMP066,238410,70871,38770,12040
67,CAMP067,138005,19796,3804,19670
68,CAMP068,174937,121363,152,11980
69,CAMP069,61032,78055,41515,18118
70,CAMP070,307704,90506,16129,12678
71,CAMP071,199665,96591,19826,7449
